Date,Adj Close
1/3/2012,7.823252
1/4/2012,7.942743
1/5/2012,8.146585
1/6/2012,8.230934
1/9/2012,8.294192
1/10/2012,8.294192
1/11/2012,8.483976
1/12/2012,8.533181
1/13/2012,8.46289
1/17/2012,8.448833
1/18/2012,8.673759
1/19/2012,8.86354
1/20/2012,8.849483
1/23/2012,8.898687
1/24/2012,9.011153
1/25/2012,9.08847
1/26/2012,8.990064
1/27/2012,8.616063
1/30/2012,8.672517
1/31/2012,8.764253
2/1/2012,8.700746
2/2/2012,8.651349
2/3/2012,9.025346
2/6/2012,9.145307
2/7/2012,9.088853
2/8/2012,9.06063
2/9/2012,8.95478
2/10/2012,8.778365
2/13/2012,8.848931
2/14/2012,8.806593
2/15/2012,8.736028
2/16/2012,8.990062
2/17/2012,8.997119
2/21/2012,8.841873
2/22/2012,8.665461
2/23/2012,8.75014
2/24/2012,8.630176
2/27/2012,8.679575
2/28/2012,8.64429
2/29/2012,8.736028
3/1/2012,8.933613
3/2/2012,8.97595
3/5/2012,8.79248
3/6/2012,8.531385
3/7/2012,8.637234
3/8/2012,8.79248
3/9/2012,8.877157
3/12/2012,8.771312
3/13/2012,8.961835
3/14/2012,9.088853
3/15/2012,9.102968
3/16/2012,8.827763
3/19/2012,8.912439
3/20/2012,8.848931
3/21/2012,8.870101
3/22/2012,8.693687
3/23/2012,8.693687
3/26/2012,8.806593
3/27/2012,8.693687
3/28/2012,8.693687
3/29/2012,8.820707
3/30/2012,8.806593
4/2/2012,8.905384
4/3/2012,8.919493
4/4/2012,8.827763
4/5/2012,8.799536
4/9/2012,8.623123
4/10/2012,8.319689
4/11/2012,8.404368
4/12/2012,8.517273
4/13/2012,8.411424
4/16/2012,8.383197
4/17/2012,8.404368
4/18/2012,8.319689
4/19/2012,8.227953
4/20/2012,8.051542
4/23/2012,8.009201
4/24/2012,8.037428
4/25/2012,8.27735
4/26/2012,8.376143
4/27/2012,8.185614
4/30/2012,7.994263
5/1/2012,7.958825
5/2/2012,7.866698
5/3/2012,7.739127
5/4/2012,7.561946
5/7/2012,7.55486
5/8/2012,7.519424
5/9/2012,7.576121
5/10/2012,7.590296
5/11/2012,7.498164
5/14/2012,7.3139
5/15/2012,7.193419
5/16/2012,7.200507
5/17/2012,7.0942
5/18/2012,7.0942
5/21/2012,7.228856
5/22/2012,7.221766
5/23/2012,7.377682
5/24/2012,7.505253
5/25/2012,7.51234
5/29/2012,7.682431
5/30/2012,7.55486
5/31/2012,7.48399
6/1/2012,7.172159
6/4/2012,7.115461
6/5/2012,7.221766
6/6/2012,7.491076
6/7/2012,7.476903
6/8/2012,7.55486
6/11/2012,7.406032
6/12/2012,7.441467
6/13/2012,7.299726
6/14/2012,7.377682
6/15/2012,7.335162
6/18/2012,7.328074
6/19/2012,7.48399
6/20/2012,7.547773
6/21/2012,7.278466
6/22/2012,7.221766
6/25/2012,7.0942
6/26/2012,7.0942
6/27/2012,7.101287
6/28/2012,7.150898
6/29/2012,6.796541
7/2/2012,6.654799
7/3/2012,6.803625
7/5/2012,6.782367
7/6/2012,6.732758
7/9/2012,6.697322
7/10/2012,6.626451
7/11/2012,6.612277
7/12/2012,6.470532
7/13/2012,6.569753
7/16/2012,6.562665
7/17/2012,6.619365
7/18/2012,6.647712
7/19/2012,6.626451
7/20/2012,6.527231
7/23/2012,6.498882
7/24/2012,6.420925
7/25/2012,6.35714
7/26/2012,6.350052
7/27/2012,6.378402
7/30/2012,6.449272
7/31/2012,6.548493
8/1/2012,6.441608
8/2/2012,6.356099
8/3/2012,6.477235
8/6/2012,6.51999
8/7/2012,6.634001
8/8/2012,6.662503
8/9/2012,6.655379
8/10/2012,6.662503
8/13/2012,6.698131
8/14/2012,6.726633
8/15/2012,6.762264
8/16/2012,6.833519
8/17/2012,6.862021
8/20/2012,6.862021
8/21/2012,6.790763
8/22/2012,6.762264
8/23/2012,6.733761
8/24/2012,6.762264
8/27/2012,6.691007
8/28/2012,6.655379
8/29/2012,6.641125
8/30/2012,6.634001
8/31/2012,6.655379
9/4/2012,6.705257
9/5/2012,6.819267
9/6/2012,7.068667
9/7/2012,7.225431
9/10/2012,7.204052
9/11/2012,7.232557
9/12/2012,7.275312
9/13/2012,7.367944
9/14/2012,7.50333
9/17/2012,7.403573
9/18/2012,7.42495
9/19/2012,7.546086
9/20/2012,7.439202
9/21/2012,7.410699
9/24/2012,7.353691
9/25/2012,7.189802
9/26/2012,7.132798
9/27/2012,7.139921
9/28/2012,7.025912
10/1/2012,7.075791
10/2/2012,6.976032
10/3/2012,7.082917
10/4/2012,7.204052
10/5/2012,7.239683
10/8/2012,7.1613
10/9/2012,7.196928
10/10/2012,7.111419
10/11/2012,7.225431
10/12/2012,7.211179
10/15/2012,7.282436
10/16/2012,7.339441
10/17/2012,7.417824
10/18/2012,7.432076
10/19/2012,7.253934
10/22/2012,7.246809
10/23/2012,7.125669
10/24/2012,7.246809
10/25/2012,7.403573
10/26/2012,7.382196
10/31/2012,7.990814
11/1/2012,8.055257
11/2/2012,7.997975
11/5/2012,8.055257
11/6/2012,8.176981
11/7/2012,7.919212
11/8/2012,7.804648
11/9/2012,7.82613
11/12/2012,7.854771
11/13/2012,7.876248
11/14/2012,7.639963
11/15/2012,7.568361
11/16/2012,7.518239
11/19/2012,7.754526
11/20/2012,7.76885
11/21/2012,7.818969
11/23/2012,7.947855
11/26/2012,7.955014
11/27/2012,7.947855
11/28/2012,8.055257
11/29/2012,8.255743
11/30/2012,8.198461
12/3/2012,8.169822
12/4/2012,8.098219
12/5/2012,8.098219
12/6/2012,8.048097
12/7/2012,8.219942
12/10/2012,8.212781
12/11/2012,8.2271
12/12/2012,8.212781
12/13/2012,8.069579
12/14/2012,7.947855
12/17/2012,8.155501
12/18/2012,8.355985
12/19/2012,8.398949
12/20/2012,8.42759
12/21/2012,8.492032
12/24/2012,8.878682
12/26/2012,9.157931
12/27/2012,9.136452
12/28/2012,9.215214
12/31/2012,9.272496
1/2/2013,9.451502
1/3/2013,9.637669
1/4/2013,9.716428
1/7/2013,9.616186
1/8/2013,9.558906
1/9/2013,9.644829
1/10/2013,9.902595
1/11/2013,10.024322
1/14/2013,10.017159
1/15/2013,10.239127
1/16/2013,10.181846
1/17/2013,10.181846
1/18/2013,10.103084
1/22/2013,10.146044
1/23/2013,9.938396
1/24/2013,9.931236
1/25/2013,9.795191
1/28/2013,9.939453
1/29/2013,9.477823
1/30/2013,9.32635
1/31/2013,9.340776
2/1/2013,9.391268
2/4/2013,9.290285
2/5/2013,9.506673
2/6/2013,9.521101
2/7/2013,9.427333
2/8/2013,9.448971
2/11/2013,9.456183
2/12/2013,9.434545
2/13/2013,9.40569
2/14/2013,9.456183
2/15/2013,9.391268
2/19/2013,9.369628
2/20/2013,9.088324
2/21/2013,8.936852
2/22/2013,9.001768
2/25/2013,8.749314
2/26/2013,8.900784
2/27/2013,9.20373
2/28/2013,9.095536
3/1/2013,9.095536
3/4/2013,9.196515
3/5/2013,9.283073
3/6/2013,9.297499
3/7/2013,9.254219
3/8/2013,9.362414
3/11/2013,9.622082
3/12/2013,9.658146
3/13/2013,9.665358
3/14/2013,9.686997
3/15/2013,9.701425
3/18/2013,9.564378
3/19/2013,9.492246
3/20/2013,9.636507
3/21/2013,9.564378
3/22/2013,9.564378
3/25/2013,9.586018
3/26/2013,9.600445
3/27/2013,9.535527
3/28/2013,9.485035
4/1/2013,9.304711
4/2/2013,9.384053
4/3/2013,9.146028
4/4/2013,9.124387
4/5/2013,8.972916
4/8/2013,9.218155
4/9/2013,9.232585
4/10/2013,9.463396
4/11/2013,9.773556
4/12/2013,9.759125
4/15/2013,9.340776
4/16/2013,9.463396
4/17/2013,9.32635
4/18/2013,9.196515
4/19/2013,9.32635
4/22/2013,9.420119
4/23/2013,9.636507
4/24/2013,9.614868
4/25/2013,9.715851
4/26/2013,9.860107
4/29/2013,9.852895
4/30/2013,9.888961
5/1/2013,9.721843
5/2/2013,9.743641
5/3/2013,10.048811
5/6/2013,10.237727
5/7/2013,10.310386
5/8/2013,10.324919
5/9/2013,10.317653
5/10/2013,10.25226
5/13/2013,10.179601
5/14/2013,10.368514
5/15/2013,10.659152
5/16/2013,10.637354
5/17/2013,10.957054
5/20/2013,10.93526
5/21/2013,10.862599
5/22/2013,10.877131
5/23/2013,10.760875
5/24/2013,10.746343
5/28/2013,11.102373
5/29/2013,11.356683
5/30/2013,11.552862
5/31/2013,11.393014
6/3/2013,11.545598
6/4/2013,11.465672
6/5/2013,11.080577
6/6/2013,11.218631
6/7/2013,11.429341
6/10/2013,11.414807
6/11/2013,11.269491
6/12/2013,11.167766
6/13/2013,11.320352
6/14/2013,11.167766
6/17/2013,11.298554
6/18/2013,11.371213
6/19/2013,11.131437
6/20/2013,10.768142
6/21/2013,10.898928
6/24/2013,10.659152
6/25/2013,10.877131
6/26/2013,11.109638
6/27/2013,11.371213
6/28/2013,11.24043
7/1/2013,11.436609
7/2/2013,11.75631
7/3/2013,11.937958
7/5/2013,12.134141
7/8/2013,12.214064
7/9/2013,12.235865
7/10/2013,12.148671
7/11/2013,12.337585
7/12/2013,12.432043
7/15/2013,12.439309
7/16/2013,12.06148
7/17/2013,12.192269
7/18/2013,12.301255
7/19/2013,12.177735
7/22/2013,12.381182
7/23/2013,12.308522
7/24/2013,12.620958
7/25/2013,12.323054
7/26/2013,12.366648
7/29/2013,12.410247
7/30/2013,12.410247
7/31/2013,12.33716
8/1/2013,12.563728
8/2/2013,12.790298
8/5/2013,12.563728
8/6/2013,12.446789
8/7/2013,12.256764
8/8/2013,12.410245
8/9/2013,12.439478
8/12/2013,12.476022
8/13/2013,12.468714
8/14/2013,12.344466
8/15/2013,12.008264
8/16/2013,11.91325
8/19/2013,11.781696
8/20/2013,11.920559
8/21/2013,11.876707
8/22/2013,11.993646
8/23/2013,12.022882
8/26/2013,11.993646
8/27/2013,11.606283
8/28/2013,11.708608
8/29/2013,12.059426
8/30/2013,11.832858
9/3/2013,11.942485
9/4/2013,12.359086
9/5/2013,12.644124
9/6/2013,12.424864
9/9/2013,12.651435
9/10/2013,12.826845
9/11/2013,12.819534
9/12/2013,12.709903
9/13/2013,12.680671
9/16/2013,12.680671
9/17/2013,12.746448
9/18/2013,12.885314
9/19/2013,12.907242
